YearM,US Equity,Foreign EQ,Emerging EQ
199001,-0.0785,-0.04270585,0.027203087
199002,0.0111,-0.075282883,0.033518964
199003,0.0183,-0.110371024,-0.141695348
199004,-0.0336,-0.014570133,0.065239489
199005,0.0842,0.107606756,0.075338597
199006,-0.0109,-0.014868143,0.028254638
199007,-0.019,0.007544081,0.08137421
199008,-0.1015,-0.103437615,-0.134179797
199009,-0.0612,-0.145073207,-0.133694311
199010,-0.0192,0.149339917,-0.025366262
199011,0.0635,-0.064403238,-0.057885189
199012,0.0246,0.010589295,0.036262093
199101,0.0469,0.027425642,0.075645909
199102,0.0719,0.102692866,0.143140936
199103,0.0265,-0.064190918,0.036697809
199104,-0.0028,0.004810582,0.005232018
